Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,35.724998,36.187500,35.724998,36.044998,34.266190,76806800
2017-07-10,36.027500,36.487499,35.842499,36.264999,34.475334,84362400
2017-07-11,36.182499,36.462502,36.095001,36.382500,34.587025,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.636948,99538000
2017-07-13,36.375000,37.122501,36.360001,36.942501,35.119404,100797600
2017-07-14,36.992500,37.332500,36.832500,37.259998,35.421223,80528400
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.544811,95174000
2017-07-18,37.299999,37.532501,37.167500,37.520000,35.668404,71475200
2017-07-19,37.619999,37.855000,37.487499,37.755001,35.891808,83692000
2017-07-20,37.875000,37.935001,37.547501,37.584999,35.730198,68974800
2017-07-21,37.497501,37.610001,37.220001,37.567501,35.713558,105010400
2017-07-24,37.645000,38.110001,37.474998,38.022499,36.146095,85972800
2017-07-25,37.950001,38.459999,37.950001,38.185001,36.300587,75415600
2017-07-26,38.337502,38.482498,38.264999,38.365002,36.471706,63124000
2017-07-27,38.437500,38.497501,36.825001,37.639999,35.782475,129905200
2017-07-28,37.472500,37.557499,37.297501,37.375000,35.530556,68854800
2017-07-31,37.474998,37.582500,37.032501,37.182499,35.347553,79383600
2017-08-01,37.275002,37.555000,37.102501,37.512501,35.661270,141474400
2017-08-02,39.820000,39.937500,39.040001,39.285000,37.346302,279747200
2017-08-03,39.262501,39.302502,38.755001,38.892502,36.973175,108389200
2017-08-04,39.017502,39.349998,38.922501,39.097500,37.168049,82239600
2017-08-07,39.264999,39.730000,39.167500,39.702499,37.743198,87481200
2017-08-08,39.650002,40.457500,39.567501,40.020000,38.045033,144823600
2017-08-09,39.814999,40.317501,39.777500,40.264999,38.277939,104526000
2017-08-10,39.974998,40.000000,38.657501,38.830002,37.058712,163217200
2017-08-11,39.150002,39.642502,39.017502,39.369999,37.574078,105028400
2017-08-14,39.830002,40.052502,39.687500,39.962502,38.139549,88490800
2017-08-15,40.165001,40.549999,40.035000,40.400002,38.557098,117862000
2017-08-16,40.485001,40.627499,40.037498,40.237499,38.402000,110686400
2017-08-17,40.130001,40.177502,39.459999,39.465000,37.664749,111762400
2017-08-18,39.465000,39.875000,39.180000,39.375000,37.578854,109712400
2017-08-21,39.375000,39.472500,38.777500,39.302502,37.509666,105474000
2017-08-22,39.557499,40.000000,39.505001,39.945000,38.122849,86418400
2017-08-23,39.767502,40.117500,39.720001,39.994999,38.170567,77596400
